MMSI|Ship Name|IMO|Call Sign|Type Code|Latitude|Longitude|Area
525000001|CILEGON TRADER|220150001|YBEC|60|1.490846|98.766852|Malacca Strait
525000002|PAINAN OCEAN|220150002|YBOY|70|-2.22173|107.743407|Java Sea
525000003|HARBOUR VOYAGER|220150003|YBZG|79|-4.856891|128.231324|Banda Sea
525000004|SAMUDERA MARITIME|220150004|YBGE|80|-6.822413|135.422161|Arafura Sea
525000005|LABUHAN CARRIER|220150005|YBXX|30|-2.025032|117.492353|Makassar Strait
525000006|INDRAMAYU VICTORY|220150006|YBBC|52|-6.355989|105.817148|Sunda Strait
525000007|MANONJAYA OCEAN|220150007|YBJX|31|-8.562129|115.877493|Lombok Strait
525000008|TASIKMALAYA EXPRESS|220150008|YBMU|32|-9.957574|126.223542|Timor Sea
525000009|SAGULUNG OCEAN|220150009|YBJM|36|0.680388|101.047288|Malacca Strait
525000010|RANTAU VOYAGER|220150010|YBFL|37|-4.584406|109.297455|Java Sea
525000011|JOHOR SEJAHTERA|220150011|YBTG|60|-4.230635|130.433593|Banda Sea
525000012|SAMBAU 462|220150012|YBOH|70|-7.841133|137.343777|Arafura Sea
525000013|BINTAN SPIRIT|220150013|YBVN|79|-1.301481|118.863493|Makassar Strait
525000014|SINGAPORE MAKMUR|220150014|YBKP|80|-6.00276|104.874031|Sunda Strait
525000015|BATAM 113|220150015|YBOV|30|-8.905911|115.445476|Lombok Strait
525000016|ANAMBAS 114|220150016|YBMC|52|-8.292705|124.035957|Timor Sea
525000017|BAGAN MARINE|220150017|YBJH|31|1.348193|101.680303|Malacca Strait
525000018|BULANG MAKMUR|220150018|YBCP|32|-4.23476|107.485507|Java Sea
525000019|BULANG FERRY|220150019|YBKL|36|-3.95931|131.251403|Banda Sea
525000020|BELAWAN 910|220150020|YBOM|37|-7.406672|132.357027|Arafura Sea
525000021|PURWAKARTA MARINE|220150021|YBKI|60|-2.240859|117.407979|Makassar Strait
525000022|DUMAI VESSEL|220150022|YBYJ|70|-6.153066|105.023538|Sunda Strait
525000023|RIAU EXPLORER|220150023|YBWD|79|-8.354911|114.617302|Lombok Strait
525000024|SUKABUMI VOYAGER|220150024|YBAE|80|-8.83702|125.290714|Timor Sea
525000025|PALABUHAN PROSPERITY|220150025|YBSH|30|-0.253836|99.360935|Malacca Strait
525000026|SUMATRA TANKER|220150026|YBCP|52|-4.353123|111.177893|Java Sea
525000027|CISOLOK 842|220150027|YBHF|31|-4.762428|128.455261|Banda Sea
525000028|JAMPANG SHIP|220150028|YBSZ|32|-8.846509|132.302089|Arafura Sea
525000029|MANONJAYA MERCHANT|220150029|YBBT|36|-3.626794|119.034362|Makassar Strait
525000030|BELAWAN ENTERPRISE|220150030|YBWI|37|-6.371307|105.609024|Sunda Strait
525000031|PEKANBARU 299|220150031|YBRO|60|-7.857853|115.934709|Lombok Strait
525000032|PEKANBARU PROSPERITY|220150032|YBHN|70|-8.358504|124.939353|Timor Sea
525000033|JAMPANG STAR|220150033|YBRF|79|0.753879|98.464534|Malacca Strait
