# Mock Vessel Data for Indonesian Maritime Demo
# Format: MMSI|Ship Name|IMO|Call Sign|Type Code|Latitude|Longitude|Area
# Type Codes: 60=Passenger, 70=Cargo, 79=Cargo, 80=Tanker, 30=Fishing, 52=Tug, 31=Towing, 32=Dredger, 36=Sailing, 37=Pleasure

# Malacca Strait - Northern Section (40 vessels)
525000001|SINAR BANDUNG|220150001|YBAM|70|-1.50|98.20|Malacca Strait
525000002|TANTO INTIM|220150002|YBAK|70|-1.80|98.40|Malacca Strait
525000003|SAMUDERA INDO|220150003|YBAS|70|-2.10|98.60|Malacca Strait
525000004|MERATUS LINE|220150004|YBAT|70|-2.40|98.80|Malacca Strait
525000005|SPIL MAKMUR|220150005|YBAU|70|-2.70|99.00|Malacca Strait
525000006|PELNI NUSA|220150006|YBAV|60|-3.00|99.20|Malacca Strait
525000007|PERTAMINA 01|220150007|YBAW|80|-3.30|99.40|Malacca Strait
525000008|PERTAMINA 02|220150008|YBAX|80|-3.60|99.60|Malacca Strait
525000009|TEMAS SHIPPING|220150009|YBAY|70|-3.90|99.80|Malacca Strait
525000010|BATAM EXPRESS|220150010|YBAZ|70|-4.20|100.00|Malacca Strait
525000011|RIAU CONTAINER|220150011|YBBA|70|-4.50|100.20|Malacca Strait
525000012|KEPRI LINE|220150012|YBBB|70|-4.80|100.40|Malacca Strait
525000013|SUMATRA CARGO|220150013|YBBC|79|-5.10|100.60|Malacca Strait
525000014|MEDAN CARRIER|220150014|YBBD|79|-1.60|98.80|Malacca Strait
525000015|BELAWAN SHIP|220150015|YBBE|70|-1.90|99.00|Malacca Strait
525000016|DUMAI TANKER|220150016|YBBF|80|-2.20|99.20|Malacca Strait
525000017|SIAK VESSEL|220150017|YBBG|79|-2.50|99.40|Malacca Strait
525000018|PEKANBARU EX|220150018|YBBH|70|-2.80|99.60|Malacca Strait
525000019|INDRAGIRI CV|220150019|YBBI|70|-3.10|99.80|Malacca Strait
525000020|KAMPAR LINER|220150020|YBBJ|70|-3.40|100.00|Malacca Strait
525000021|ROKAN FREIGHT|220150021|YBBK|79|-3.70|100.20|Malacca Strait
525000022|BAGAN EXPRESS|220150022|YBBL|70|-4.00|100.40|Malacca Strait
525000023|PANGKALAN MT|220150023|YBBM|80|-4.30|100.60|Malacca Strait
525000024|RUPAT FERRY|220150024|YBBN|60|-4.60|100.80|Malacca Strait
525000025|BENGKALIS SH|220150025|YBBO|79|-4.90|101.00|Malacca Strait
525000026|SELAT PANJANG|220150026|YBBP|70|-1.70|99.50|Malacca Strait
525000027|TANJUNG BALAI|220150027|YBBQ|70|-2.00|99.70|Malacca Strait
525000028|ASAHAN CARGO|220150028|YBBR|79|-2.30|99.90|Malacca Strait
525000029|LABUHAN BILIK|220150029|YBBS|70|-2.60|100.10|Malacca Strait
525000030|RANTAU PRAPAT|220150030|YBBT|70|-2.90|100.30|Malacca Strait
525000031|KISARAN SHIP|220150031|YBBU|79|-3.20|100.50|Malacca Strait
525000032|TANJUNG TIRAM|220150032|YBBV|70|-3.50|100.70|Malacca Strait
525000033|PULAU SAMBU|220150033|YBBW|60|-3.80|100.90|Malacca Strait
525000034|SUNGAI PAKNING|220150034|YBBX|80|-4.10|101.10|Malacca Strait
525000035|TELUK DALAM|220150035|YBBY|79|-4.40|101.30|Malacca Strait
525000036|BENGKULU EX|220150036|YBBZ|70|-4.70|101.50|Malacca Strait
525000037|PADANG LINER|220150037|YBCA|70|-5.00|101.70|Malacca Strait
525000038|PARIAMAN SHIP|220150038|YBCB|79|-1.55|98.50|Malacca Strait
525000039|PAINAN CARGO|220150039|YBCC|70|-1.85|98.70|Malacca Strait
525000040|MENTAWAI FERRY|220150040|YBCD|60|-2.15|98.90|Malacca Strait

# Malacca Strait - Singapore Approach (40 vessels)
525000041|SINGAPORE EX|220150041|YBCE|70|1.05|103.50|Singapore Strait
525000042|JOHOR STRAIT|220150042|YBCF|70|1.15|103.60|Singapore Strait
525000043|BATAM FERRY|220150043|YBCG|60|1.25|103.70|Singapore Strait
525000044|BINTAN LINE|220150044|YBCH|60|1.35|103.80|Singapore Strait
525000045|KARIMUN EX|220150045|YBCI|70|1.45|103.90|Singapore Strait
525000046|TANJUNG PINANG|220150046|YBCJ|70|1.55|104.00|Singapore Strait
525000047|NATUNA CARGO|220150047|YBCK|79|1.65|104.10|Singapore Strait
525000048|ANAMBAS SHIP|220150048|YBCL|79|1.75|104.20|Singapore Strait
525000049|LINGGA FERRY|220150049|YBCM|60|1.85|104.30|Singapore Strait
525000050|SINGKEP LINE|220150050|YBCN|70|1.95|104.40|Singapore Strait
525000051|KEPULAUAN RIAU|220150051|YBCO|70|1.10|103.55|Singapore Strait
525000052|TANJUNG BALAI K|220150052|YBCP|70|1.20|103.65|Singapore Strait
525000053|MORO CARGO|220150053|YBCQ|79|1.30|103.75|Singapore Strait
525000054|KUNDUR SHIP|220150054|YBCR|79|1.40|103.85|Singapore Strait
525000055|GALANG EXPRESS|220150055|YBCS|70|1.50|103.95|Singapore Strait
525000056|BULANG LINER|220150056|YBCT|70|1.60|104.05|Singapore Strait
525000057|LOBAM VESSEL|220150057|YBCU|79|1.70|104.15|Singapore Strait
525000058|TELAGA PUNGGUR|220150058|YBCV|70|1.80|104.25|Singapore Strait
525000059|SENGGARANG SH|220150059|YBCW|70|1.90|104.35|Singapore Strait
525000060|DOMPAK FERRY|220150060|YBCX|60|1.08|103.52|Singapore Strait
525000061|SEKUPANG EX|220150061|YBCY|70|1.18|103.62|Singapore Strait
525000062|NONGSA CARGO|220150062|YBCZ|79|1.28|103.72|Singapore Strait
525000063|BATU AMPAR|220150063|YBDA|70|1.38|103.82|Singapore Strait
525000064|HARBOUR BAY|220150064|YBDB|60|1.48|103.92|Singapore Strait
525000065|BENGKONG LINE|220150065|YBDC|70|1.58|104.02|Singapore Strait
525000066|LUBUK BAJA|220150066|YBDD|79|1.68|104.12|Singapore Strait
525000067|TANJUNG UMA|220150067|YBDE|70|1.78|104.22|Singapore Strait
525000068|BALOI SHIP|220150068|YBDF|70|1.88|104.32|Singapore Strait
525000069|TELUK TERING|220150069|YBDG|79|1.98|104.42|Singapore Strait
525000070|KABIL FREIGHT|220150070|YBDH|70|1.12|103.58|Singapore Strait
525000071|SAMBAU CARGO|220150071|YBDI|79|1.22|103.68|Singapore Strait
525000072|TANJUNG RIAU|220150072|YBDJ|70|1.32|103.78|Singapore Strait
525000073|SAGULUNG EX|220150073|YBDK|70|1.42|103.88|Singapore Strait
525000074|BATU AJI LINE|220150074|YBDL|70|1.52|103.98|Singapore Strait
525000075|BELAKANG PADANG|220150075|YBDM|79|1.62|104.08|Singapore Strait
525000076|GALANG BARU|220150076|YBDN|70|1.72|104.18|Singapore Strait
525000077|PULAU ABANG|220150077|YBDO|60|1.82|104.28|Singapore Strait
525000078|SETOKO SHIP|220150078|YBDP|70|1.92|104.38|Singapore Strait
525000079|PUNGGUR FERRY|220150079|YBDQ|60|1.07|103.48|Singapore Strait
525000080|TANJUNG PIAYU|220150080|YBDR|70|1.17|103.58|Singapore Strait

# Java Sea - Western Section (Jakarta Approach) (40 vessels)
525000081|TANJUNG PRIOK|220150081|YBDS|70|-5.70|106.50|Java Sea West
525000082|JAKARTA PORT|220150082|YBDT|70|-5.75|106.60|Java Sea West
525000083|MERAK FERRY|220150083|YBDU|60|-5.80|106.70|Java Sea West
525000084|BANTEN CARGO|220150084|YBDV|79|-5.85|106.80|Java Sea West
525000085|SERANG SHIP|220150085|YBDW|70|-5.90|106.90|Java Sea West
525000086|CILEGON LINE|220150086|YBDX|70|-5.95|107.00|Java Sea West
525000087|PANDEGLANG EX|220150087|YBDY|79|-6.00|107.10|Java Sea West
525000088|TANGERANG CV|220150088|YBDZ|70|-6.05|107.20|Java Sea West
525000089|BEKASI FREIGHT|220150089|YBEA|70|-6.10|107.30|Java Sea West
525000090|BOGOR LINER|220150090|YBEB|79|-5.72|106.55|Java Sea West
525000091|DEPOK CARGO|220150091|YBEC|70|-5.77|106.65|Java Sea West
525000092|CIREBON PORT|220150092|YBED|70|-5.82|106.75|Java Sea West
525000093|INDRAMAYU SH|220150093|YBEE|79|-5.87|106.85|Java Sea West
525000094|SUBANG VESSEL|220150094|YBEF|70|-5.92|106.95|Java Sea West
525000095|PURWAKARTA EX|220150095|YBEG|70|-5.97|107.05|Java Sea West
525000096|KARAWANG LINE|220150096|YBEH|79|-6.02|107.15|Java Sea West
525000097|BANDUNG EXPRESS|220150097|YBEI|70|-6.07|107.25|Java Sea West
525000098|SUKABUMI SHIP|220150098|YBEJ|79|-6.12|107.35|Java Sea West
525000099|TASIKMALAYA CV|220150099|YBEK|70|-5.74|106.52|Java Sea West
525000100|GARUT CARGO|220150100|YBEL|79|-5.79|106.62|Java Sea West
525000101|CIAMIS FREIGHT|220150101|YBEM|70|-5.84|106.72|Java Sea West
525000102|KUNINGAN LINE|220150102|YBEN|79|-5.89|106.82|Java Sea West
525000103|MAJALENGKA EX|220150103|YBEO|70|-5.94|106.92|Java Sea West
525000104|SUMEDANG SHIP|220150104|YBEP|70|-5.99|107.02|Java Sea West
525000105|CIMAHI VESSEL|220150105|YBEQ|79|-6.04|107.12|Java Sea West
525000106|BANJAR CARGO|220150106|YBER|70|-6.09|107.22|Java Sea West
525000107|PANGANDARAN FRY|220150107|YBES|60|-6.14|107.32|Java Sea West
525000108|PALABUHANRATU|220150108|YBET|70|-5.76|106.58|Java Sea West
525000109|PELABUHAN RATU|220150109|YBEU|79|-5.81|106.68|Java Sea West
525000110|UJUNG GENTENG|220150110|YBEV|70|-5.86|106.78|Java Sea West
525000111|CISOLOK PORT|220150111|YBEW|70|-5.91|106.88|Java Sea West
525000112|CIKIDANG SHIP|220150112|YBEX|79|-5.96|106.98|Java Sea West
525000113|JAMPANG LINE|220150113|YBEY|70|-6.01|107.08|Java Sea West
525000114|MANONJAYA EX|220150114|YBEZ|70|-6.06|107.18|Java Sea West
525000115|PAMEUNGPEUK CV|220150115|YBFA|79|-6.11|107.28|Java Sea West
525000116|CIBALONG CARGO|220150116|YBFB|70|-5.78|106.54|Java Sea West
525000117|CIKELET SHIP|220150117|YBFC|70|-5.83|106.64|Java Sea West
525000118|KALIPUCANG FRY|220150118|YBFD|60|-5.88|106.74|Java Sea West
525000119|CIPATUJAH LINE|220150119|YBFE|70|-5.93|106.84|Java Sea West
525000120|CIJULANG VESSEL|220150120|YBFF|79|-5.98|106.94|Java Sea West

# Java Sea - Central Section (40 vessels)
525000121|SEMARANG PORT|220150121|YBFG|70|-6.20|109.80|Java Sea Central
525000122|KENDAL CARGO|220150122|YBFH|79|-6.25|109.90|Java Sea Central
525000123|DEMAK SHIP|220150123|YBFI|70|-6.30|110.00|Java Sea Central
